Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,12.500,24.690,28.010,28.010
2006-01-01 00:10:00,12.710,25.500,23.932,23.932
2006-01-01 00:20:00,14.370,29.124,29.810,29.810
2006-01-01 00:30:00,14.530,29.325,28.230,28.230
2006-01-01 00:40:00,13.680,28.185,28.886,28.886
2006-01-01 00:50:00,13.870,28.527,29.735,29.735
2006-01-01 01:00:00,13.880,28.545,30.000,30.000
2006-01-01 01:10:00,12.750,25.623,25.700,25.700
2006-01-01 01:20:00,11.830,22.254,22.233,22.233
2006-01-01 01:30:00,11.670,21.624,20.157,20.157
2006-01-01 01:40:00,11.170,19.602,20.167,20.167
2006-01-01 01:50:00,14.450,29.253,28.495,28.495
2006-01-01 02:00:00,14.150,28.887,27.055,27.055
2006-01-01 02:10:00,16.700,29.991,29.077,29.077
2006-01-01 02:20:00,15.120,29.748,30.000,30.000
2006-01-01 02:30:00,14.720,29.577,30.000,30.000
2006-01-01 02:40:00,16.740,29.994,30.000,30.000
2006-01-01 02:50:00,15.190,29.766,30.000,30.000
2006-01-01 03:00:00,17.290,30.000,30.000,30.000
2006-01-01 03:10:00,17.140,30.000,30.000,30.000
2006-01-01 03:20:00,16.610,29.988,30.000,30.000
2006-01-01 03:30:00,16.040,29.961,30.000,30.000
2006-01-01 03:40:00,14.100,28.845,30.000,30.000
2006-01-01 03:50:00,13.080,26.616,27.269,27.269
2006-01-01 04:00:00,13.900,28.602,30.000,30.000
2006-01-01 04:10:00,14.500,29.325,29.210,29.210
2006-01-01 04:20:00,14.750,29.634,30.000,30.000
2006-01-01 04:30:00,15.400,29.832,29.726,29.726
2006-01-01 04:40:00,14.750,29.643,30.000,30.000
2006-01-01 04:50:00,14.620,29.481,30.000,30.000
2006-01-01 05:00:00,14.440,29.253,28.483,28.483
2006-01-01 05:10:00,15.180,29.769,30.000,30.000
2006-01-01 05:20:00,14.610,29.466,29.409,29.409
2006-01-01 05:30:00,14.270,29.052,30.000,30.000
2006-01-01 05:40:00,13.960,28.680,29.614,29.614
2006-01-01 05:50:00,14.260,29.046,28.359,28.359
