Date(YYYY-MM-DD hh:mm:ss),100m wind speed (m/s), rated power output at 100m (MW), SCORE-lite power output at 100m (MW),CorrectedScore
2006-01-01 00:00:00,21.450,30.000,30.000,30.000
2006-01-01 00:10:00,20.240,30.000,30.000,30.000
2006-01-01 00:20:00,20.670,30.000,30.000,30.000
2006-01-01 00:30:00,20.620,30.000,29.098,29.098
2006-01-01 00:40:00,20.290,30.000,30.000,30.000
2006-01-01 00:50:00,20.630,30.000,30.000,30.000
2006-01-01 01:00:00,20.160,30.000,29.382,29.382
2006-01-01 01:10:00,19.350,30.000,30.000,30.000
2006-01-01 01:20:00,20.260,30.000,30.000,30.000
2006-01-01 01:30:00,18.260,30.000,29.787,29.787
2006-01-01 01:40:00,19.090,30.000,29.807,29.807
2006-01-01 01:50:00,18.960,30.000,30.000,30.000
2006-01-01 02:00:00,18.890,30.000,30.000,30.000
2006-01-01 02:10:00,15.660,29.958,30.000,30.000
2006-01-01 02:20:00,17.670,30.000,30.000,30.000
2006-01-01 02:30:00,17.570,30.000,30.000,30.000
2006-01-01 02:40:00,19.750,30.000,29.161,29.161
2006-01-01 02:50:00,18.150,30.000,29.212,29.212
2006-01-01 03:00:00,21.890,30.000,28.155,28.155
2006-01-01 03:10:00,21.820,30.000,30.000,30.000
2006-01-01 03:20:00,22.340,30.000,30.000,30.000
2006-01-01 03:30:00,20.170,30.000,28.513,28.513
2006-01-01 03:40:00,21.230,30.000,29.711,29.711
2006-01-01 03:50:00,20.670,30.000,28.683,28.683
2006-01-01 04:00:00,20.750,30.000,29.331,29.331
2006-01-01 04:10:00,21.550,30.000,28.524,28.524
2006-01-01 04:20:00,21.510,30.000,28.529,28.529
2006-01-01 04:30:00,23.650,30.000,28.343,28.343
2006-01-01 04:40:00,23.030,30.000,30.000,30.000
2006-01-01 04:50:00,21.570,30.000,29.485,29.485
2006-01-01 05:00:00,21.030,30.000,30.000,30.000
2006-01-01 05:10:00,19.800,30.000,28.029,28.029
2006-01-01 05:20:00,20.180,30.000,29.785,29.785
2006-01-01 05:30:00,20.480,30.000,28.652,28.652
2006-01-01 05:40:00,21.850,30.000,30.000,30.000
2006-01-01 05:50:00,21.230,30.000,29.949,29.949
2006-01-01 06:00:00,21.020,30.000,29.512,29.512
2006-01-01 06:10:00,20.370,30.000,29.561,29.561
2006-01-01 06:20:00,19.380,30.000,30.000,30.000
2006-01-01 06:30:00,18.610,30.000,28.490,28.490
2006-01-01 06:40:00,18.570,30.000,30.000,30.000
2006-01-01 06:50:00,19.000,30.000,30.000,30.000
2006-01-01 07:00:00,19.160,30.000,30.000,30.000
2006-01-01 07:10:00,19.100,30.000,28.728,28.728
2006-01-01 07:20:00,19.560,30.000,29.457,29.457
2006-01-01 07:30:00,19.160,30.000,30.000,30.000
2006-01-01 07:40:00,18.920,30.000,30.000,30.000
2006-01-01 07:50:00,19.020,30.000,30.000,30.000
2006-01-01 08:00:00,19.230,30.000,30.000,30.000
2006-01-01 08:10:00,18.740,30.000,28.122,28.122
2006-01-01 08:20:00,18.900,30.000,28.460,28.460
2006-01-01 08:30:00,18.140,30.000,30.000,30.000
2006-01-01 08:40:00,17.260,30.000,29.826,29.826
2006-01-01 08:50:00,16.660,30.000,28.790,28.790
2006-01-01 09:00:00,15.750,29.961,29.830,29.830
2006-01-01 09:10:00,15.630,29.958,30.000,30.000
2006-01-01 09:20:00,15.690,29.961,29.740,29.740
2006-01-01 09:30:00,14.960,29.796,30.000,30.000
2006-01-01 09:40:00,13.850,28.899,29.564,29.564
2006-01-01 09:50:00,12.140,24.465,24.036,24.036
2006-01-01 10:00:00,10.190,16.554,19.141,19.141
2006-01-01 10:10:00,8.780,10.839, 9.896,9.896
2006-01-01 10:20:00,7.330, 6.132, 6.141,6.141
2006-01-01 10:30:00,5.620, 2.622, 2.216,2.216
2006-01-01 10:40:00,4.010, 0.684, 0.000,0.000
2006-01-01 10:50:00,3.650, 0.414, 0.000,0.000
2006-01-01 11:00:00,4.380, 1.047, 0.897,0.897
2006-01-01 11:10:00,4.970, 1.698, 0.223,0.223
2006-01-01 11:20:00,5.360, 2.229, 0.109,0.109
2006-01-01 11:30:00,7.770, 7.437, 6.208,6.208
2006-01-01 11:40:00,10.530,18.057,19.447,19.447
2006-01-01 11:50:00,11.290,21.243,20.232,20.232
2006-01-01 12:00:00,9.580,13.995,12.568,12.568
2006-01-01 12:10:00,7.750, 7.374, 5.965,5.965
2006-01-01 12:20:00,5.760, 2.859, 1.813,1.813
2006-01-01 12:30:00,4.900, 1.617, 1.594,1.594
2006-01-01 12:40:00,5.070, 1.812, 2.036,2.036
2006-01-01 12:50:00,4.900, 1.623, 2.030,2.030
2006-01-01 13:00:00,4.380, 1.056, 1.585,1.585
2006-01-01 13:10:00,3.730, 0.480, 0.000,0.000
2006-01-01 13:20:00,4.230, 0.891, 1.533,1.533
2006-01-01 13:30:00,4.240, 0.900, 0.388,0.388
2006-01-01 13:40:00,4.720, 1.416, 0.542,0.542
2006-01-01 13:50:00,5.840, 2.976, 1.962,1.962
2006-01-01 14:00:00,8.370, 9.279, 9.701,9.701
2006-01-01 14:10:00,12.670,26.241,28.136,28.136
2006-01-01 14:20:00,16.720,30.000,29.969,29.969
2006-01-01 14:30:00,19.640,30.000,29.264,29.264
2006-01-01 14:40:00,20.980,30.000,30.000,30.000
2006-01-01 14:50:00,22.100,30.000,30.000,30.000
2006-01-01 15:00:00,23.180,30.000,29.354,29.354
2006-01-01 15:10:00,24.970,30.000,29.344,29.344
2006-01-01 15:20:00,24.210,30.000,28.600,28.600
2006-01-01 15:30:00,22.560,30.000,30.000,30.000
2006-01-01 15:40:00,21.440,30.000,30.000,30.000
2006-01-01 15:50:00,21.520,30.000,30.000,30.000
2006-01-01 16:00:00,20.850,30.000,28.993,28.993
2006-01-01 16:10:00,20.030,30.000,28.698,28.698
2006-01-01 16:20:00,21.130,30.000,29.209,29.209
2006-01-01 16:30:00,21.660,30.000,29.903,29.903
2006-01-01 16:40:00,22.040,30.000,28.174,28.174
2006-01-01 16:50:00,23.940,30.000,30.000,30.000
2006-01-01 17:00:00,27.350, 0.000, 0.000,0.000
2006-01-01 17:10:00,27.750, 0.000, 0.000,0.000
2006-01-01 17:20:00,29.060, 0.000, 0.000,0.000
2006-01-01 17:30:00,30.090, 0.000, 0.000,0.000
2006-01-01 17:40:00,29.180, 0.000, 0.000,0.000
2006-01-01 17:50:00,28.940, 0.000, 0.000,0.000
2006-01-01 18:00:00,26.810, 1.287, 0.000,0.000
2006-01-01 18:10:00,24.410,30.000,29.679,0.000
2006-01-01 18:20:00,20.910,30.000,30.000,0.000
2006-01-01 18:30:00,13.450,28.365,28.313,28.313
2006-01-01 18:40:00,8.660,10.314, 8.824,8.824
2006-01-01 18:50:00,5.700, 2.739, 2.683,2.683
2006-01-01 19:00:00,4.940, 1.656, 0.000,0.000
2006-01-01 19:10:00,5.730, 2.796, 2.252,2.252
2006-01-01 19:20:00,6.280, 3.738, 4.189,4.189
2006-01-01 19:30:00,6.210, 3.567, 3.332,3.332
2006-01-01 19:40:00,6.520, 4.257, 4.154,4.154
2006-01-01 19:50:00,6.520, 4.269, 3.988,3.988
2006-01-01 20:00:00,6.100, 3.402, 3.383,3.383
2006-01-01 20:10:00,5.400, 2.292, 0.000,0.000
2006-01-01 20:20:00,4.530, 1.215, 1.722,1.722
2006-01-01 20:30:00,3.760, 0.501, 0.312,0.312
2006-01-01 20:40:00,3.580, 0.357, 0.024,0.024
2006-01-01 20:50:00,4.590, 1.278, 2.019,2.019
2006-01-01 21:00:00,5.880, 3.039, 2.194,2.194
2006-01-01 21:10:00,5.660, 2.691, 1.925,1.925
2006-01-01 21:20:00,3.770, 0.507, 0.922,0.922
2006-01-01 21:30:00,3.410, 0.234, 0.000,0.000
2006-01-01 21:40:00,6.350, 3.840, 1.176,1.176
2006-01-01 21:50:00,7.710, 7.179, 6.387,6.387
2006-01-01 22:00:00,7.740, 7.275, 6.885,6.885
2006-01-01 22:10:00,11.260,20.865,23.608,23.608
2006-01-01 22:20:00,9.020,11.616,10.717,10.717
2006-01-01 22:30:00,10.780,18.882,20.161,20.161
2006-01-01 22:40:00,11.160,20.445,22.221,22.221
2006-01-01 22:50:00,13.660,28.605,28.086,28.086
2006-01-01 23:00:00,13.660,28.605,27.935,27.935
2006-01-01 23:10:00,15.050,29.814,30.000,30.000
2006-01-01 23:20:00,17.310,30.000,29.886,29.886
2006-01-01 23:30:00,15.360,29.904,28.912,28.912
2006-01-01 23:40:00,14.880,29.766,30.000,30.000
2006-01-01 23:50:00,16.850,30.000,28.992,28.992
2006-01-02 00:00:00,18.410,30.000,27.623,27.623
2006-01-02 00:10:00,18.050,30.000,29.717,29.717
2006-01-02 00:20:00,17.820,30.000,29.311,29.311
2006-01-02 00:30:00,16.970,30.000,29.673,29.673
2006-01-02 00:40:00,16.410,29.994,30.000,30.000
2006-01-02 00:50:00,18.050,30.000,30.000,30.000
2006-01-02 01:00:00,16.350,29.991,30.000,30.000
2006-01-02 01:10:00,14.390,29.556,27.678,27.678
2006-01-02 01:20:00,13.810,28.836,30.000,30.000
2006-01-02 01:30:00,10.790,19.014,19.237,19.237
2006-01-02 01:40:00,7.970, 7.965, 8.264,8.264
2006-01-02 01:50:00,6.880, 5.031, 5.312,5.312
2006-01-02 02:00:00,7.720, 7.239, 7.905,7.905
2006-01-02 02:10:00,8.560, 9.957,10.680,10.680
2006-01-02 02:20:00,8.280, 8.916, 7.960,7.960
2006-01-02 02:30:00,8.280, 8.922, 5.984,5.984
2006-01-02 02:40:00,8.010, 8.094, 7.205,7.205
2006-01-02 02:50:00,8.080, 8.301, 8.532,8.532
2006-01-02 03:00:00,9.210,12.390, 8.492,8.492
2006-01-02 03:10:00,12.570,25.914,26.846,26.846
2006-01-02 03:20:00,14.330,29.463,30.000,30.000
